ClCC1=CC=CC=C1	DTXSID0020153
OC1=C(CC2=CC=CC=C2)C=C(Cl)C=C1	DTXSID5020154
S=C=NCC1=CC=CC=C1	DTXSID0020155
N#CSCC1=CC=CC=C1	DTXSID5020156
NNCC1=CC=CC=C1	DTXSID0020157
Cc1c(COC(=O)C2C(C=C(Cl)C(F)(F)F)C2(C)C)cccc1-c1ccccc1	DTXSID9020160
C1=CC=C(C=C1)C1=CC=CC=C1	DTXSID4020161
OCC(CO)(CBr)CBr	DTXSID9020164
CC(CCl)OC(C)CCl	DTXSID4020167
ClCCOCCCl	DTXSID9020168
ClCOCCl	DTXSID8020173
ClC1=CC(Cl)=C(OC2=CC=C(OC3=NC=C(Cl)C=C3Cl)C=C2)N=C1	DTXSID8020175
CC(O)CNCC(C)O	DTXSID8020179
CC(C)(C1=CC=C(O)C=C1)C1=CC=C(O)C=C1	DTXSID7020182
NC1=CC(N)=C(C=C1)N=NC1=CC=C(C=C1)C1=CC=C(C=C1)N=NC1=C(C=C2C=C(C(N=NC3=CC=CC=C3)=C(O)C2=C1N)S(O)(=O)=O)S(O)(=O)=O	DTXSID7020184
CCN(CC1=CC(=CC=C1)S(O)(=O)=O)C1=CC=C(C=C1)C(=C1C=CC(C=C1)=[N+](CC)CC1=CC=CC(=C1)S(O)(=O)=O)C1=C(C=CC=C1)S(O)(=O)=O	DTXSID2020189
OS(=O)(=O)C1=CC2=C(NC(C2=O)C2=NC3=C(C=C(C=C3)S(O)(=O)=O)C2=O)C=C1	DTXSID1020190
OCCNC1=C(C=C(C=C1)N(CCO)CCO)[N+]([O-])=O	DTXSID6020193
CC(C)CC1N2C(=O)C(NC(=O)C3CN(C)C4CC5=C(Br)NC6=CC=CC(=C56)C4=C3)(OC2(O)C2CCCN2C1=O)C(C)C	DTXSID6020197
ClC(Cl)Br	DTXSID1020198
CCBr	DTXSID6020199
OCCBr	DTXSID8020200
CCCC1OC2CC3C4CCC5=CC(=O)C=CC5(C)C4C(O)CC3(C)C2(O1)C(=O)CO	DTXSID8020202
CCCCOC(=O)C1=C(C=CC=C1)C(=O)OCC1=CC=CC=C1	DTXSID3020205
CCCCCl	DTXSID8020206
CCC(C)C1=CC(=CC(=C1O)[N+]([O-])=O)[N+]([O-])=O	DTXSID3020207
CCCCOC(=O)C1=CC=C(O)C=C1	DTXSID3020209
CCCCN(CCCCO)N=O	DTXSID2020210
CC(C)(C)C1=CC(CO)=CC(=C1O)C(C)(C)C	DTXSID7020211
CC1=CC(=C(O)C=C1)C(C)(C)C	DTXSID2020212
CCCCN(N=O)C(=N)N[N+]([O-])=O	DTXSID7020213
CC1=CC(=C(O)C(=C1)C(C)(C)C)C(C)(C)C	DTXSID2020216
CC(C)(C)C1=CC(O)=CC=C1O	DTXSID6020220
CC(C)(C)C1=CC=C(O)C=C1	DTXSID1020221
CCCCNC(N)=O	DTXSID6020222
CC1CC(=O)O1	DTXSID1020223
O=C1CCCO1	DTXSID6020224
OC(=O)C=CC1=CC(O)=C(O)C=C1	DTXSID5020231
CN1C=NC2=C1C(=O)N(C)C(=O)N2C	DTXSID0020232
CC(C)C(C)C=CC(C)C1CCC2C(CCCC12C)=CC=C1CC(O)CCC1=C	DTXSID5020233
CN(C)C(=O)COC(=O)CC1=CC=C(OC(=O)C2=CC=C(NC(N)=N)C=C2)C=C1	DTXSID0020238
CCOC1=NC2=CC=CC(C(=O)OC(C)OC(=O)OC3CCCCC3)=C2N1CC1=CC=C(C=C1)C1=C(C=CC=C1)C1=NN=NN1	DTXSID5020239
O=C1CCCCCN1	DTXSID4020240
COC1=CC(CNC(=O)CCCCC=CC(C)C)=CC=C1O	DTXSID9020241
ClC(Cl)C(Cl)(Cl)SN1C(=O)C2CC=CCC2C1=O	DTXSID4020242
ClC(Cl)(Cl)SN1C(=O)C2CC=CCC2C1=O	DTXSID9020243
NNC(N)=O	DTXSID4020244
NC(=O)NNC1=CC=CC=C1	DTXSID9020245
CNC(=O)OC1=C2C=CC=CC2=CC=C1	DTXSID9020247
N1C2=CC=CC=C2C2=C1C=CC=C2	DTXSID4020248
CNC(=O)OC1=CC=CC2=C1OC(C)(C)C2	DTXSID9020249
ClC(Cl)(Cl)Cl	DTXSID8020250
CCC(Br)(CC)C(=O)NC(N)=O	DTXSID8020252
CC(C=CC=C(C)C=CC1=C(C)CCCC1(C)C)=CC=CC=C(C)C=CC=C(C)C=CC1=C(C)CCCC1(C)C	DTXSID3020253
CC(=C)C1CC=C(C)C(=O)C1	DTXSID8020256
OC1=C(O)C=CC=C1	DTXSID3020257
CC(CCC(O)=O)C1CCC2C3C(O)CC4CC(O)CCC4(C)C3CCC12C	DTXSID2020260
OC(O)C(Cl)(Cl)Cl	DTXSID7020261
NC1=C(Cl)C(=CC(Cl)=C1)C(O)=O	DTXSID2020262
OC(=O)CCCC1=CC=C(C=C1)N(CCCl)CCCl	DTXSID7020263
OCC(NC(=O)C(Cl)Cl)C(O)C1=CC=C(C=C1)[N+]([O-])=O	DTXSID7020265
ClC1=C(Cl)C(=O)C(Cl)=C(Cl)C1=O	DTXSID2020266
ClC1CC2C(C1Cl)C1(Cl)C(Cl)=C(Cl)C2(Cl)C1(Cl)Cl	DTXSID7020267
OC(=O)C1C(C(O)=O)C2(Cl)C(Cl)=C(Cl)C1(Cl)C2(Cl)Cl	DTXSID2020268
CC(=O)OC1(CCC2C3C=C(Cl)C4=CC(=O)CCC4(C)C3CCC12C)C(C)=O	DTXSID6020274
NC1=CC=C(OC2=CC=C(Cl)C=C2)C=C1	DTXSID1020275
OC1OC(=O)C(Cl)=C1C(Cl)Cl	DTXSID6020276
[O-][N+](=O)C1=CC(=C(Cl)C=C1)[N+]([O-])=O	DTXSID6020278
CC(=C)CCl	DTXSID1020279
[O-][N+](=O)C1=C(Cl)C=CC=C1	DTXSID0020280
